CM012306.1	3277965	3278124	CM008852.1	1327951	1328110	+
CM012306.1	3298694	3299012	CM008852.1	1329990	1330300	+
CM012306.1	3304921	3305269	CM008852.1	1330328	1330837	+
CM012306.1	3311373	3311624	PDMY01000956.1	5385	5681	+
CM012306.1	3311654	3312256	PDMY01000711.1	54305	54907	+
CM012306.1	3350573	3350724	CM008857.1	22875036	22875170	+
CM012306.1	3392322	3392441	CM008855.1	3696767	3696913	+
CM012306.1	3401641	3409172	CM008855.1	3705236	3709463	+
CM012306.1	3427560	3428613	PDMY01001408.1	4683	5017	+
CM012306.1	3436919	3437179	PDMY01001408.1	8927	9172	+
CM012306.1	3449126	3449228	CM008855.1	3679875	3679977	+
CM012306.1	3456223	3456518	CM008855.1	3676033	3676322	+
CM012306.1	3464241	3464317	CM008828.1	14700376	14700452	+
CM012306.1	3506333	3510611	CM008855.1	3659016	3660529	+
CM012306.1	3563963	3564074	CM008845.1	10586327	10586445	+
CM012306.1	3569889	3570474	CM008845.1	10587326	10589155	+
CM012306.1	3600072	3600252	CM008835.1	5636713	5636892	+
CM012306.1	3681791	3682094	CM008832.1	43407742	43408041	+
CM012306.1	3722954	3723161	CM008834.1	22322744	22322986	+
CM012306.1	3743145	3769594	CM008855.1	4103106	4109612	+
CM012306.1	3774555	3774880	CM008854.1	5249624	5249924	+
CM012306.1	3777186	3777886	CM008857.1	7607450	7607942	+
CM012306.1	3785160	3785734	CM008854.1	5249637	5250265	+
CM012306.1	3787451	3788166	CM008829.1	13897457	13897961	+
CM012306.1	3824025	3824121	CM008837.1	3726876	3726969	+
CM012306.1	3871473	3871649	CM008841.1	2684070	2684236	+
CM012306.1	3872656	3872867	CM008828.1	149402016	149402218	+
CM012306.1	3872867	3873141	CM008831.1	41718197	41718472	+
CM012306.1	3910276	3910356	CM008841.1	12395070	12395150	+
CM012306.1	3954370	3955290	CM008837.1	1807717	1808642	+
CM012306.1	3960541	3961463	CM008837.1	1807722	1808650	+
CM012306.1	4014477	4014574	CM008852.1	1237116	1237213	+
CM012306.1	4078266	4078388	CM008837.1	18997145	18997267	+
CM012306.1	4082736	4082879	CM008837.1	18999822	18999944	+
CM012306.1	4088242	4088355	CM008837.1	19001071	19001184	+
CM012306.1	4090792	4090890	CM008836.1	1069126	1069222	+
CM012306.1	4093202	4093278	CM008837.1	10869518	10869594	+
CM012306.1	4134762	4134822	CM008857.1	50376046	50376108	+
CM012306.1	4139419	4141450	CM008837.1	6065313	6069324	+
CM012306.1	4144065	4149344	CM008837.1	6076031	6077711	+
CM012306.1	4161372	4162879	CM008855.1	1833494	1833955	+
CM012306.1	4165383	4165447	CM008842.1	7300279	7300344	+
CM012306.1	4165483	4165568	CM008830.1	81828689	81828774	+
CM012306.1	4166307	4166482	CM008837.1	6097602	6097785	+
CM012306.1	4167762	4168996	CM008837.1	6100798	6101692	+
CM012306.1	4171517	4171672	CM008837.1	6102145	6102300	+
CM012306.1	4176420	4176586	CM008837.1	6105597	6105772	+
CM012306.1	4183755	4185292	CM008837.1	6111435	6112162	+
CM012306.1	4186918	4193053	CM008855.1	2031176	2033762	+
CM012306.1	4215178	4215441	CM008855.1	2034875	2035140	+
CM012306.1	4244082	4244363	CM008857.1	30099900	30100169	+
